Project Title,Category,ROLE,BUDGET,TECHNOLOGY,DESIGN PARTNER,DESIGNER domain,DOMAIN,Description 
AIER:  American Institute for Economic Research.,INFORMATIONAL,"Technical Lead, Developer","$50,000 - $100,000",Drupal 7,,,https://www.aier.org/,Description goes here
Bezier Controls,MUSIC & ART,"Concept, Design, Developer","< $10,000",JavaScript,,,https://editor.p5js.org/knectar/full/bLcZrlqt_,Description goes here
Carnegie Mellon University,HIGHER EDUCATION,"Technical Lead, Developer","$50,000 - $100,000",Drupal 10,Carnegie Dartlet ,https://www.carnegiehighered.com/,https://www.cmu.edu/,Description goes here
Carv Resource Management,WEB & iOS APPS,"Concept, Design, Developer","$100,000 - $250,000","Django, Angular", ,,,Description goes here
Chemex Coffee Maker,E-Commerce,"Technical Lead, Developer","$10,000 - $20,000",Shopify,,,https://www.chemexcoffeemaker.com/,Description goes here
Clarkson University,HIGHER EDUCATION,"Technical Lead, Developer","$50,000 - $100,000",Drupal 10,Carnegie Dartlet ,https://www.carnegiehighered.com/,https://www.clarkson.edu/,Description goes here
Crocker,WEB & iOS APPS,"Technical Lead, Developer","$25,000 - $50,000",Drupal 7,,,https://crocker.com/,Description goes here
Deans Beans,E-Commerce,"Technical Lead, Developer","$100,000 - $250,000",Magento,,,https://deansbeans.com/,Description goes here
Deshpande Center for Technological Innovation,HIGHER EDUCATION,"Technical Lead, Developer","$25,000 - $50,000",Drupal 7,,,https://deshpande.mit.edu/,Description goes here
Eze Soft,INFORMATIONAL,"Technical Lead, Developer","$25,000 - $50,000",Drupal 7,,,https://www.ezesoft.com/,Description goes here
Fox Chase Cancer Research ,HIGHER EDUCATION,"Technical Lead, Developer","$100,000 - $250,000",Drupal 7,,,https://www.foxchase.org/,Description goes here
Glassica Analog,MUSIC & ART,"Concept, Design, Developer","< $10,000","Rhino 3D, Laser cutting",,,,Description goes here
Glassica App,WEB & iOS APPS,"Concept, Design, Developer","< $10,000","C#, Unity",,,,Description goes here
Glenmede,INFORMATIONAL,"Technical Lead, Developer","$100,000 - $250,000",Drupal 7,,,https://www.glenmede.com/,Description goes here
Guardair,E-Commerce,"Technical Lead, Developer","$50,000 - $100,000",Shopify Plus,Tunnel7,https://tunnel7.com/,https://guardair.com/,Description goes here
Jazz Hero,MUSIC & ART,"Concept, Design, Developer","< $10,000","Django, Angular",,,https://k-os-theory-a8ad68407a91.herokuapp.com/generate-line,Description goes here
Kavli Institute for Brain Science,HIGHER EDUCATION,"Technical Lead, Developer","$10,000 - $20,000",Drupal 7,,,https://kavli.columbia.edu/,Description goes here
Kettering University,HIGHER EDUCATION,"Technical Lead, Developer","$50,000 - $100,000",Drupal 10,Carnegie Dartlet ,https://www.carnegiehighered.com/,https://www.kettering.edu/,Description goes here
La Jolla Country Day School,HIGHER EDUCATION,"Technical Lead, Developer","$25,000 - $50,000",WordPress,Verso Design,https://www.versodesign.co/,https://www.ljcds.org/,Description goes here
Lewis Katz School of Medicine - Temple University,HIGHER EDUCATION,"Technical Lead, Developer","$100,000 - $250,000",Drupal 11,,,https://medicine.temple.edu/,Description goes here
LIM College,HIGHER EDUCATION,"Technical Lead, Developer","$50,000 - $100,000",Drupal 10,Carnegie Dartlet ,https://www.carnegiehighered.com/,https://www.limcollege.edu/,Description goes here
Madison Country Day School,HIGHER EDUCATION,"Technical Lead, Developer","$25,000 - $50,000",Drupal 10,Verso Design,https://www.versodesign.co/,https://www.madisoncountryday.org/,Description goes here
Massachusetts Municipal Wholesale Electric Company ,INTRANETS & PORTALS,"Technical Lead, Developer","> $250,000",Drupal 10,In-house,,https://webportal.mmwec.org/,Description goes here
MMWEC Nextzero Rebate Web Application,INTRANETS & PORTALS,"Technical Lead, Developer","$100,000 - $250,000",Drupal 10,#N/A,#N/A,#N/A,Description goes here
MIT,HIGHER EDUCATION,"Technical Lead, Developer","$50,000 - $100,000",Drupal 7,,,https://solve.mit.edu/,Description goes here
Modelo,INTRANETS & PORTALS,"Technical Lead, Developer","> $250,000",Magento Enterprise,,,https://www.mimodelo.com.mx/,Description goes here
Monadnock Media,INFORMATIONAL,"Technical Lead, Developer","$25,000 - $50,000",Other,Aaron Taylor-Waldman,https://www.taylorwaldman.com/,https://monadnock.org/,Description goes here
Northeastern Illinois University,HIGHER EDUCATION,"Technical Lead, Developer","$25,000 - $50,000",Drupal 10,Carnegie Dartlet ,https://www.carnegiehighered.com/,https://www.neiu.edu/,Description goes here
Oxform PM,WEB & iOS APPS,"Technical Lead, Developer","$50,000 - $100,000",Drupal 7,,,https://www.oxfordpm.com/,Description goes here
P5 Projects,MUSIC & ART,"Concept, Design, Developer","$10,000 - $20,000",P5.js, ,,,Description goes here
Paragraphs Stats Module,WEB & iOS APPS,"Concept, Design, Developer","< $10,000",Drupal 11, ,,https://www.drupal.org/project/ps,Description goes here
Pen plotting works,MUSIC & ART,"Concept, Design, Developer","< $10,000","Inkscape, Pen Plotter", ,,,Description goes here
Pioneer Valley Books ,E-Commerce,"Technical Lead, Developer","$50,000 - $100,000",Shopify Plus,Tunnel7,https://tunnel7.com/,https://pioneervalleybooks.com/,Description goes here
Riverbend Animal Hospital,INFORMATIONAL,"Technical Lead, Developer","$10,000 - $20,000",Drupal 7,,,https://riverbendanimal.com/,Description goes here
Robert Rauschenberg Foundation,INFORMATIONAL,"Technical Lead, Developer","$50,000 - $100,000",Drupal 10,n/a,,https://www.rauschenbergfoundation.org/,Description goes here
Sculpture works,MUSIC & ART,"Concept, Design, Developer","$10,000 - $20,000","CNC, Traditional tools", ,,,Description goes here
Sleep Studio,E-Commerce,"Technical Lead, Developer","$50,000 - $100,000",Magento,,,https://sleepstudio.com/ ,Description goes here
SmartLabs,INTRANETS & PORTALS,"Technical Lead, Developer","> $250,000",Drupal 10,n/a,,https://smartlabs.com/,Description goes here
